Date,Rain,T,pH,Debit,DCO,DBO5C,MES,Ptotal,N-NH4 effluent,SARS gc/ml,gc/normalized to PMMV,gc/day,Confirmedcases
2020-08-10,0,18.5,7,161688,230,110,200,2.8,11.4,1.363979971,1.194267967,2.74E+11,2
2020-08-11,36.4,18.9,6.9,193584,390,120,270,,11,,,,2
2020-08-12,0.3,19,7,211728,210,89,190,,7.6,,,,6
2020-08-13,0,18.8,6.9,166224,300,90,190,,10,,,,1
2020-08-14,0.4,18.8,6.9,157296,290,,230,,,,,,2
2020-08-15,0,18.8,6.8,147048,280,,210,,,,,,2
2020-08-16,0,18.8,6.7,145176,260,88,210,,12.6,,,,2
2020-08-17,14.4,19.1,6.8,158712,350,100,280,3.7,12.1,,,,7
2020-08-18,28.6,19.1,6.9,191040,250,120,220,,10.7,,,,7
2020-08-19,0.8,18.7,7,154200,250,120,200,,12,,,,11
2020-08-20,0,18.7,6.9,145800,310,170,240,,13.3,12.09764518,0.072842172,1.76E+12,5
2020-08-21,4.6,18.8,6.9,151920,270,,230,,,,,,3
2020-08-22,0,18.7,7,137928,290,,220,,,,,,4
2020-08-23,0,18.6,7,137016,250,110,200,,13.9,,,,1
2020-08-24,4.6,18.9,7,141432,310,150,240,3.6,14.7,,,,0
2020-08-25,20,19.4,6.9,194688,310,110,240,,10,,,,1
2020-08-26,0,18.8,6.9,142176,260,130,210,,13.4,,,,2
2020-08-27,0,18.8,6.9,138720,320,140,240,,13.6,,,,6
2020-08-28,0,18.7,6.9,134832,310,,290,,,9.516250696,0.106262034,1.28E+12,11
2020-08-29,42.1,18.4,6.8,193344,260,,330,,,,,,10
2020-08-30,16,17.5,7.1,291600,180,68,150,,5.7,,,,22
2020-08-31,0,18.1,7.1,189264,240,88,210,2.5,9.6,,,,34
2020-09-01,2.1,18.2,7,169272,270,110,200,,11.2,,,,23
2020-09-02,35.4,18.2,7,191928,230,93,190,,10.6,,,,25
2020-09-03,0.1,18.1,7.1,185304,270,80,220,,10.3,65.26152994,0.095494365,1.21E+13,22
2020-09-04,0.8,18,7,161448,,,,,,,,,39
2020-09-05,9.6,17.9,7,152856,,,,,,,,,46
2020-09-06,1.3,17.9,7.1,143232,,,,,,,,,55
2020-09-07,14.9,18.1,7,148488,,,,,,,,,28
2020-09-08,6.3,18.2,6.9,164544,,,,,,,,,28
2020-09-09,11,18.1,6.9,166176,330,140,250,,12.3,13.65496451,0.114781897,2.27E+12,35
2020-09-10,17.2,17.3,6.7,219336,260,98,240,,8.9,9.750173651,0.11359091,2.45E+12,31
2020-09-11,1.6,17.7,6.6,174888,230,,200,,,,,,66
2020-09-12,0,17.7,6.6,156672,260,,190,,,,,,55
2020-09-13,31.2,17.7,6.8,220776,250,110,230,,11.3,60.28224737,0.074099607,1.33E+13,43
2020-09-14,0.9,17.5,7.1,223776,200,61,140,2,8.4,,,,60
2020-09-15,0,17.5,7,180120,260,140,230,,10.4,,,,59
2020-09-16,2.1,17.5,6.9,172416,340,170,230,,11.4,,,,68
2020-09-17,0.9,17.6,7,163008,270,160,210,,12.3,,,,69
2020-09-18,0,17.4,7,154368,280,,240,,,,,,58
2020-09-19,0,17.1,7,145944,300,,130,,,,,,67
2020-09-20,0.1,17,7,141888,260,110,220,,13,,,,57
2020-09-21,0,17,7,141960,250,140,230,3.3,13.7,,,,76
2020-09-22,0,17,6.9,140064,320,170,240,,13.8,,,,117
2020-09-23,0,17.2,6.9,139296,360,150,240,,13.6,,,,96
2020-09-24,0,17.2,6.8,135072,380,150,290,,14.2,159.9029,0.193018089,2.16E+13,132
2020-09-25,0,17.2,6.7,132384,360,,250,,,,,,124
2020-09-26,0,17.1,6.8,130512,320,,260,,,,,,110
2020-09-27,0,17.2,7,131400,370,150,250,,14.7,,,,188
2020-09-28,4.6,17.4,7,132408,330,160,240,3.9,14.2,,,,144
2020-09-29,20,17.5,6.9,152448,370,170,280,,13.5,,,,84
2020-09-30,49.4,16.8,7,294384,210,87,200,,6,,,,124
2020-10-01,6.8,16.8,7.1,211128,290,110,200,,7.8,,,,151
2020-10-02,19.5,16.9,7,213816,200,,200,,,,,,187
2020-10-03,0.2,16.7,7,195408,200,,160,,,,,,138
2020-10-04,0,16.7,7,174936,240,120,200,,9.8,,,,140
2020-10-05,0.3,16.8,7,163680,280,120,190,2.7,11.6,,,,88
2020-10-06,1.8,16.8,6.9,157848,250,110,200,,11.4,,,,151
2020-10-07,31.5,16.5,6.8,239016,270,91,200,,9.5,,,,122
2020-10-08,0.2,16.3,6.8,208536,210,93,170,,8.2,,,,173
2020-10-09,2,16.1,6.8,180456,270,,190,,,,,,143
2020-10-10,22.8,16,6.8,212976,300,,210,,,15.65167914,0.381657618,3.02E+12,119
2020-10-11,0,15.9,6.9,220896,140,51,140,,7.6,,,,95
2020-10-12,0,15.9,6.8,193176,190,91,140,2.1,8.7,,,,101
2020-10-13,12.1,15.7,6.9,209544,180,98,170,,9,,,,184
2020-10-14,2.3,15.6,7,210792,180,73,140,,7.8,,,,195
2020-10-15,2.1,15.8,6.9,185112,190,100,190,,9.2,,,,220
2020-10-16,18.8,15.6,6.9,234048,190,,160,,,,,,232
2020-10-17,18.9,14.7,7.1,313344,180,,110,,,,,,173
2020-10-18,0.2,15.4,7.1,271800,210,59,120,,6.2,,,,104
