Date,TOTAL_laboratoire,TOTAL_epidemiologique,Cas_actifs,JOUR_laboratoire,JOUR_epidemiologique,Moyenne_mobile_7jours,Cas infirmés,Cas confirmés,Pourcentage de positivité,Hospitalisations_hors_soins_intensifs,Hospitalisations_soins_intensifs,Deces_CHSLD,Deces_RPA,Deces_Domicile_Inconnu,Deces_RI_Autre
2/24/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/2020 0:00,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
2/26/2020 0:00,0,0,0,0,0,0.14,2,0,0,0,0,0,0,0,0
2/27/2020 0:00,0,0,0,0,0,0.14,2,0,0,0,0,0,0,0,0
2/28/2020 0:00,1,0,1,1,0,0.14,3,0,0,0,0,0,0,0,0
2/29/2020 0:00,1,0,1,0,0,0.14,0,0,0,1,0,0,0,0,0
3/1/2020 0:00,1,0,1,0,0,0.14,4,0,0,0,0,0,0,0,0
3/2/2020 0:00,1,0,1,0,0,0.14,0,0,0,0,0,0,0,0,0
3/3/2020 0:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/4/2020 0:00,1,0,1,0,0,0,5,0,0,1,0,0,0,0,0
3/5/2020 0:00,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
3/6/2020 0:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 0:00,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0
3/8/2020 0:00,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3/9/2020 0:00,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0
3/10/2020 0:00,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0
3/11/2020 0:00,1,0,1,0,0,0.29,15,0,0,0,0,0,0,0,0
3/12/2020 0:00,1,0,1,0,0,0.71,14,0,0,0,0,0,0,0,0
3/13/2020 0:00,1,0,1,0,0,0.71,64,0,0,0,0,0,0,0,0
3/14/2020 0:00,3,0,3,2,0,1.14,66,2,2.94,0,0,0,0,0,0
3/15/2020 0:00,6,0,6,3,0,1.86,46,0,0,0,0,0,0,0,0
3/16/2020 0:00,6,0,6,0,0,2.29,52,1,1.89,0,0,0,0,0,0
3/17/2020 0:00,9,0,9,3,0,3.14,162,7,4.14,0,0,0,0,0,0
