sampleID,siteID,instrumentID,reporterID,dateTime,dateTimeStart,dateTimeEnd,type,collection,preTreatment,pooled,children,parent,sizeL,index,fieldSampleTempC,shippedOnIce,storageTempC,qualityFlag,notes
Quebec_Est_WWTP_2021-01-31_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-01-31 22:00:00,2021-02-01 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-01-31_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-01-31 22:00:00,2021-02-01 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-01_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-01 22:00:00,2021-02-02 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-01_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-01 22:00:00,2021-02-02 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-02_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-02 22:00:00,2021-02-03 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-02_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-02 22:00:00,2021-02-03 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-03_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-03 22:00:00,2021-02-04 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-03_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-03 22:00:00,2021-02-04 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-04_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-04 22:00:00,2021-02-05 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-04_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-04 22:00:00,2021-02-05 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-05_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-05 22:00:00,2021-02-06 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-05_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-05 22:00:00,2021-02-06 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-06_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-06 22:00:00,2021-02-07 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-06_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-06 22:00:00,2021-02-07 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-07_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-07 22:00:00,2021-02-08 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-07_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-07 22:00:00,2021-02-08 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-08_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-08 22:00:00,2021-02-09 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-08_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-08 22:00:00,2021-02-09 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-09_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-09 22:00:00,2021-02-10 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-09_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-09 22:00:00,2021-02-10 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-10_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-10 22:00:00,2021-02-11 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-10_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-10 22:00:00,2021-02-11 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-11_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-11 22:00:00,2021-02-12 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-11_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-11 22:00:00,2021-02-12 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-12_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-12 22:00:00,2021-02-13 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-12_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-12 22:00:00,2021-02-13 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-13_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-13 22:00:00,2021-02-14 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-13_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-13 22:00:00,2021-02-14 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-14_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-14 22:00:00,2021-02-15 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-14_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-14 22:00:00,2021-02-15 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-15_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-15 22:00:00,2021-02-16 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-15_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-15 22:00:00,2021-02-16 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-16_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-16 22:00:00,2021-02-17 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-16_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-16 22:00:00,2021-02-17 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Est_WWTP_2021-02-17_pstGrit_1,Quebec_Est_WWTP,na,MaryamTohidi,na,2021-02-17 22:00:00,2021-02-18 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
Quebec_Ouest_WWTP_2021-02-17_pstGrit_1,Quebec_Ouest_WWTP,na,MaryamTohidi,na,2021-02-17 22:00:00,2021-02-18 22:00:00,pstGrit,cpTP24h,na,na,na,na,1,1,4,Yes,4,NO,
