siteMeasureID,siteID,instrumentID,sampleID,reporterID,dateTime,type,aggregation,aggregationDesc,value,unit,accessToPublic,accessToAllOrg,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails,notes
quebec_ouest_wwtp_envrnf_2020-06-21,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-21,envrnf,single,cumulative rainfall in one day.,0.5,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-22,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-22,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-23,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-23,envrnf,single,cumulative rainfall in one day.,16.5,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-24,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-24,envrnf,single,cumulative rainfall in one day.,42.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-25,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-25,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-26,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-26,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-27,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-27,envrnf,single,cumulative rainfall in one day.,1.9,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-28,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-28,envrnf,single,cumulative rainfall in one day.,16.2,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-29,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-29,envrnf,single,cumulative rainfall in one day.,7.9,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-06-30,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-06-30,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-01,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-01,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-02,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-02,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-03,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-03,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-07-04,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-07-04,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
