Date,Rain,T,pH,Débit,DCO,DBO5,MES,Ptotal affluent,N-NH4 effluent,SARS gc/ml,SARS normalized to PMMV,gc/day,Confirmedcases
2020-08-10,0,19.2,7.1,192744,350,220,290,4,16,1.632557198,0.281320315,3.15E+11,2
2020-08-11,38.7,19.8,7.1,255720,470,140,280,,14.9,,,,2
2020-08-12,0.1,20.3,7.2,311760,240,110,200,,7.9,,,,6
2020-08-13,0,19.7,7.1,207264,340,170,270,,12.5,,,,1
2020-08-14,0,19.7,7.1,206544,390,,330,,,,,,2
2020-08-15,0,19.5,7.1,195048,500,,330,,,,,,2
2020-08-16,0,19.5,7,194184,500,230,470,,14.3,,,,2
2020-08-17,10.1,20,6.9,233064,640,270,710,9,12.6,,,,7
2020-08-18,22,19.6,7,298440,640,370,610,,8.6,,,,7
2020-08-19,0.1,19.7,7,204600,800,400,700,,12,7.451223259,0.036769777,1.52E+12,11
2020-08-20,0,19.7,6.9,197664,900,390,660,,14.6,6.017836314,0.009159947,1.19E+12,5
2020-08-21,6.4,19.8,7,211656,500,,380,,,8.790944259,0.019303547,1.86E+12,3
2020-08-22,0,19.6,7.1,192432,410,,260,,,13.6021799,0.038792801,2.62E+12,4
2020-08-23,0,19.5,7.1,192576,340,190,270,,14.7,,,,1
2020-08-24,4.8,19.7,7,215280,450,240,340,5.6,15.6,8.967109649,0.100898699,1.93E+12,0
2020-08-25,13.3,20.2,7.1,269808,300,170,270,,10.4,9.0565118,0.13675012,2.44E+12,1
2020-08-26,0.2,19.7,7.1,189120,380,220,270,,15.2,,,,2
2020-08-27,0,19.6,7.1,184512,380,210,290,,16.5,10.54445824,0.038775197,1.95E+12,6
2020-08-28,0,19.6,7,183600,390,,300,,,,,,11
2020-08-29,42.1,18.4,7.1,315744,350,,290,,,1.283880835,0.011660501,4.05E+11,10
2020-08-30,16.6,16.9,7.2,428784,110,44,100,,4.7,,,,22
2020-08-31,0,18,7.2,251688,240,97,160,2.7,9.9,2.202164282,0.025602091,5.54E+11,34
2020-09-01,1.6,18.7,7.1,201024,320,150,230,,13.8,5.674697533,0.075734345,1.14E+12,23
2020-09-02,21.4,18.7,7.1,292752,660,320,650,,11,,,,25
2020-09-03,0.2,18.6,7.2,239568,300,96,190,,10.3,100.9788078,0.121449282,2.42E+13,22
2020-09-04,0.4,18.8,7,204480,370,,260,,,,,,39
2020-09-05,9,18.7,7.1,211368,340,,300,,,,,,46
2020-09-06,0.1,18.5,7.1,188880,360,160,260,,14.3,441.3236012,0.169729281,8.34E+13,55
2020-09-07,2.3,18.6,7.1,196440,420,190,270,4.8,15.3,42.40577789,1.744656488,8.33E+12,28
2020-09-08,4.5,18.9,7.1,218328,360,180,260,,13,,,,28
2020-09-09,12.5,18.4,7.1,238944,350,170,270,,14.2,31.14267838,0.077580173,7.44E+12,35
2020-09-10,22.2,16.5,7.3,352152,260,93,190,,7.7,1.338187635,16.30551358,4.71E+11,31
2020-09-11,1.3,18.1,7.2,209880,290,,250,,,,,,66
2020-09-12,0.1,18.1,7.1,197688,410,,300,,,,,,55
2020-09-13,27.7,17.7,7.1,303552,390,210,330,,12.6,165.8265591,0.17756449,5.03E+13,43
2020-09-14,1.2,17.5,7.2,295584,200,70,140,2.1,7.3,,,,60
2020-09-15,0.1,17.9,7.2,188424,360,160,240,,11.7,,,,59
2020-09-16,1.2,17.9,7.1,188736,340,170,250,,13.9,239.3689078,0.230694881,4.52E+13,68
2020-09-17,0.7,18.1,7.1,202920,380,180,280,,14.7,30.26406817,0.17685072,6.14E+12,69
2020-09-18,0,17.9,7.2,196944,400,,230,,,,,,58
2020-09-19,0,17.7,7.1,190440,320,,270,,,,,,67
2020-09-20,0,17.5,7.1,186504,370,200,240,,16.5,,,,57
2020-09-21,0,17.5,7.2,184560,460,210,290,4.5,17.5,,,,76
2020-09-22,0,17.6,7.2,185928,400,220,280,,18,,,,117
2020-09-23,0,17.6,7.1,192408,460,200,270,,17.4,,,,96
2020-09-24,0,17.8,7,185736,370,190,260,,17.6,243.3596282,0.184560801,4.52E+13,132
2020-09-25,0,17.8,7.2,179064,410,,300,,,,,,124
2020-09-26,0,17.7,7.1,179880,380,,330,,,,,,110
2020-09-27,0,17.8,7.1,183384,390,200,280,,17.7,,,,188
2020-09-28,1.7,18,7.1,179496,420,230,280,5.1,18,52.77627131,0.714005624,9.47E+12,144
2020-09-29,13.4,18.2,7,233736,460,230,330,,16.7,,,,84
2020-09-30,35.6,16.9,7.2,426168,350,110,210,,6.5,18.884158,0.692118833,8.05E+12,124
2020-10-01,8.6,16.9,7.2,295056,260,95,190,,7.2,88.17545714,2.543029942,2.60E+13,151
2020-10-02,20.5,16.6,7.2,321072,260,,200,,,81.98836425,3.093505799,2.63E+13,187
2020-10-03,0.1,16.8,7.3,238632,240,,180,,,,,,138
2020-10-04,0,17.1,7.2,203448,370,180,260,,11.2,,,,140
2020-10-05,0.2,17.3,7.2,200664,390,190,250,4.5,13.8,,,,88
2020-10-06,1.6,17.4,7.3,194808,370,190,280,,15.2,,,,151
2020-10-07,29.2,16.4,7.2,359832,290,130,250,,10.4,,,,122
2020-10-08,0.1,16.3,7.4,295008,220,93,220,,8.4,,,,173
2020-10-09,1.4,16.6,7.3,212592,340,,240,,,,,,143
2020-10-10,25.7,16.4,7.3,294120,380,,250,,,,,,119
2020-10-11,0,16,7.4,301608,140,96,130,,7.1,,,,95
2020-10-12,0,16.3,7.4,221040,250,150,210,3.1,11.6,14.29754572,0.211732304,3.16E+12,101
2020-10-13,11.8,15.7,7.4,290472,270,130,180,,10.6,,,,184
2020-10-14,2.7,15.8,7.4,245136,250,130,190,,9.7,,,,195
2020-10-15,0.6,16.3,7.4,209880,350,150,290,,12.1,,,,220
2020-10-16,18.9,15.5,7.3,325128,270,,240,,,,,,232
2020-10-17,21.4,13.5,7.4,501360,130,,100,,,,,,173
2020-10-18,0.1,14.8,7.4,298896,320,130,250,,6.7,,,,104
2020-10-19,6.7,15.3,7.3,319488,370,160,300,4,8.6,,,,201
2020-10-20,7.8,14.1,7.4,438840,150,61,110,,4.7,,,,129
2020-10-21,31.1,12.9,7.4,513096,180,43,150,,4.2,,,,154
2020-10-22,0.1,13.7,7.5,440568,110,52,110,,4.1,,,,106
2020-10-23,2.3,14.7,7.4,298824,230,,160,,,,,,132
2020-10-24,4,14.9,7.4,276528,190,,170,,,,,,118
2020-10-25,0,15,7.4,209112,260,110,210,,9.2,28.45649073,0.484759194,5.95E+12,85
2020-10-26,18.6,13.2,7.4,294528,340,110,210,3,9.6,24.19335022,0.211640065,7.13E+12,94
2020-10-27,2.2,13.3,7.4,274320,240,82,170,,6.7,,,,100
2020-10-28,0.1,14.7,7.4,208152,270,160,210,,10,,,,61
2020-10-29,2.5,14.7,7.4,197496,270,150,150,,11,,,,70
2020-10-30,0.6,14.6,7.4,187632,320,,260,,,,,,67
2020-10-31,0.1,14.5,7.3,180504,290,,260,,,,,,50
2020-11-01,5.3,14.2,7.3,211375,350,200,300,,12.8,,,,88
2020-11-02,0.7,14,7.3,188232,390,210,280,4,11,9.682633805,0.057755999,1.82E+12,56
2020-11-03,0,14.3,7.4,182208,390,200,280,,13.6,,,,90
2020-11-04,0,14.3,7.3,191568,400,230,270,,15.1,,,,65
2020-11-05,0,14.3,7.2,184200,400,190,270,,15,,,,71
2020-11-06,0,14.4,7.1,186840,430,,280,,,,,,80
2020-11-07,0,14.5,7.3,184632,450,,340,,,,,,76
2020-11-08,0,14.3,7.1,184968,430,210,300,,15.5,,,,65
2020-11-09,0,14.4,7,182904,420,210,300,5.2,16.3,14.35147135,0.10043526,2.62E+12,60
2020-11-10,0,14.7,7.1,180960,490,210,280,,16.3,,,,94
2020-11-11,0.7,14.9,7.1,183984,400,240,280,,16,,,,116
2020-11-12,0,14.8,7.1,189240,400,220,310,,16.2,31.84276323,0.180524817,6.03E+12,113
2020-11-13,0,14.6,7.2,186048,360,,290,,,,,,126
2020-11-14,0,14.3,7.1,181512,290,,240,,,,,,77
2020-11-15,10.7,13.7,7.1,206040,420,200,260,,16,9.714706097,0.059655285,2.00E+12,46
2020-11-16,21.9,10.5,7.3,317760,300,140,230,3.2,8,,,,78
2020-11-17,0.3,13.5,7.2,196512,290,140,220,,12.4,,,,116
2020-11-18,0,13.7,7.3,188448,360,170,220,,15.6,58.9028518,0.592682349,1.11E+13,118
2020-11-19,0,13.7,7.3,183504,340,180,250,,15.9,,,,124
2020-11-20,1.6,13.7,7.1,186048,350,,250,,,,,,87
2020-11-21,0,13.6,7.2,182400,430,,290,,,,,,93
2020-11-22,0.8,13.4,7.1,183168,420,300,350,,15.1,56.23802957,0.102321789,1.03E+13,137
2020-11-23,28.3,10.9,7.1,298920,430,170,310,4.3,10.7,,,,107
2020-11-24,0,12.4,7.4,211320,330,160,260,,10.4,,,,121
2020-11-25,0,13.1,7.4,195864,460,230,310,,13.8,86.15780119,0.389986272,1.69E+13,149
2020-11-26,10.9,12.7,7.3,215976,380,240,330,,13.9,,,,137
2020-11-27,6.6,11.6,7.3,254904,420,,240,,,,,,147
2020-11-28,2.2,11.8,7.4,246936,360,,230,,,,,,144
2020-11-29,0.9,12.4,7.4,222000,340,180,220,,10.4,129.8309763,0.413207335,2.88E+13,133
2020-11-30,22.2,11.4,7.4,318528,430,190,280,4.2,10.8,,,,196
2020-12-01,12.9,10.8,7.5,465504,160,64,120,,4.7,,,,195
2020-12-02,3.1,11.7,7.5,339504,270,100,190,,6,,,,199
2020-12-03,0,12,7.5,236352,270,150,250,,7.8,103.6858545,1.250987955,2.45E+13,227
2020-12-04,7.5,11.3,7.4,275208,340,,270,,,,,,149
2020-12-05,2.6,11.7,7.5,251328,190,,140,,,,,,136
2020-12-06,0,12,7.4,231480,330,140,220,,9.9,7483.57746,272.2941944,1.73E+15,145
2020-12-07,0,12.1,7.4,221904,290,160,210,3.6,10.5,7942.552977,199.5443501,1.76E+15,175
2020-12-08,0,12.3,7.4,215040,340,150,230,,12.6,6867.032839,301.7867102,1.48E+15,249
2020-12-09,0,12.2,7.3,208104,450,230,280,,13.3,7074.480523,321.2315342,1.47E+15,180
