Zoom level,Latitude 0,Latitude 20,Latitude 40,Latitude 60,Latitude 80
0,78271.484,73551.136,59959.436,39135.742,13591.701
1,39135.742,36775.568,29979.718,19567.871,6795.85
2,19567.871,18387.784,14989.859,9783.936,3397.925
3,9783.936,9193.892,7494.929,4891.968,1698.963
4,4891.968,4596.946,3747.465,2445.984,849.481
5,2445.984,2298.473,1873.732,1222.992,424.741
6,1222.992,1149.237,936.866,611.496,212.37
7,611.496,574.618,468.433,305.748,106.185
8,305.748,287.309,234.217,152.874,53.093
9,152.874,143.655,117.108,76.437,26.546
10,76.437,71.827,58.554,38.218,13.273
11,38.218,35.914,29.277,19.109,6.637
12,19.109,17.957,14.639,9.555,3.318
13,9.555,8.978,7.319,4.777,1.659
14,4.777,4.489,3.66,2.389,0.83
15,2.389,2.245,1.83,1.194,0.415
16,1.194,1.122,0.915,0.597,0.207
17,0.597,0.561,0.457,0.299,0.104
18,0.299,0.281,0.229,0.149,0.052
19,0.149,0.14,0.114,0.075,0.026
20,0.075,0.07,0.057,0.037,0.013
21,0.037,0.035,0.029,0.019,0.006
22,0.019,0.018,0.014,0.009,0.003
