elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
Preci,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__envRnf:str,create_site_measure_id
Preci,SiteMeasure,siteID,,lab sheet,location,
Preci,SiteMeasure,instrumentID,,,,
Preci,SiteMeasure,sampleID,,,,
Preci,SiteMeasure,reporterID,,lab sheet,__labID__,
Preci,SiteMeasure,dateTime,,lab sheet,A,parse_date
Preci,SiteMeasure,type,envRnf,lab sheet,,
Preci,SiteMeasure,aggregation,single,,,
Preci,SiteMeasure,aggregationDesc,,,,
Preci,SiteMeasure,value,,lab sheet,B,
Preci,SiteMeasure,unit,mm,lab sheet,,
Preci,SiteMeasure,accessToPublic,TRUE,,,
Preci,SiteMeasure,accessToAllOrg,TRUE,,,
Preci,SiteMeasure,accessToPHAC,TRUE,,,
Preci,SiteMeasure,accessToLocalHA,TRUE,,,
Preci,SiteMeasure,accessToProvHA,TRUE,,,
Preci,SiteMeasure,accessToOtherProv,TRUE,,,
Preci,SiteMeasure,accessToDetails,TRUE,,,
Preci,SiteMeasure,notes,,lab sheet,,
Water temp,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwTemp:str,create_site_measure_id
Water temp,SiteMeasure,siteID,,lab sheet,location,
Water temp,SiteMeasure,instrumentID,,,,
Water temp,SiteMeasure,sampleID,,,,
Water temp,SiteMeasure,reporterID,,lab sheet,__labID__,
Water temp,SiteMeasure,dateTime,,lab sheet,A,parse_date
Water temp,SiteMeasure,type,wwTemp,lab sheet,,
Water temp,SiteMeasure,aggregation,single,,,
Water temp,SiteMeasure,aggregationDesc,,,,
Water temp,SiteMeasure,value,,lab sheet,C,
Water temp,SiteMeasure,unit,degC,lab sheet,,
Water temp,SiteMeasure,accessToPublic,TRUE,,,
Water temp,SiteMeasure,accessToAllOrg,TRUE,,,
Water temp,SiteMeasure,accessToPHAC,TRUE,,,
Water temp,SiteMeasure,accessToLocalHA,TRUE,,,
Water temp,SiteMeasure,accessToProvHA,TRUE,,,
Water temp,SiteMeasure,accessToOtherProv,TRUE,,,
Water temp,SiteMeasure,accessToDetails,TRUE,,,
Water temp,SiteMeasure,notes,,lab sheet,,
pH,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwPh:str,create_site_measure_id
pH,SiteMeasure,siteID,,lab sheet,location,
pH,SiteMeasure,instrumentID,,,,
pH,SiteMeasure,sampleID,,,,
pH,SiteMeasure,reporterID,,lab sheet,__labID__,
pH,SiteMeasure,dateTime,,lab sheet,A,parse_date
pH,SiteMeasure,type,wwPh,lab sheet,,
pH,SiteMeasure,aggregation,single,,,
pH,SiteMeasure,aggregationDesc,,,,
pH,SiteMeasure,value,,lab sheet,D,
pH,SiteMeasure,unit,ph,lab sheet,,
pH,SiteMeasure,accessToPublic,TRUE,,,
pH,SiteMeasure,accessToAllOrg,TRUE,,,
pH,SiteMeasure,accessToPHAC,TRUE,,,
pH,SiteMeasure,accessToLocalHA,TRUE,,,
pH,SiteMeasure,accessToProvHA,TRUE,,,
pH,SiteMeasure,accessToOtherProv,TRUE,,,
pH,SiteMeasure,accessToDetails,TRUE,,,
pH,SiteMeasure,notes,,lab sheet,,
Q,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwFlow:str,create_site_measure_id
Q,SiteMeasure,siteID,,lab sheet,location,
Q,SiteMeasure,instrumentID,,,,
Q,SiteMeasure,sampleID,,,,
Q,SiteMeasure,reporterID,,lab sheet,__labID__,
Q,SiteMeasure,dateTime,,lab sheet,A,parse_date
Q,SiteMeasure,type,wwFlow,lab sheet,,
Q,SiteMeasure,aggregation,single,,,
Q,SiteMeasure,aggregationDesc,,,,
Q,SiteMeasure,value,,lab sheet,E,
Q,SiteMeasure,unit,m3d,lab sheet,,
Q,SiteMeasure,accessToPublic,TRUE,,,
Q,SiteMeasure,accessToAllOrg,TRUE,,,
Q,SiteMeasure,accessToPHAC,TRUE,,,
Q,SiteMeasure,accessToLocalHA,TRUE,,,
Q,SiteMeasure,accessToProvHA,TRUE,,,
Q,SiteMeasure,accessToOtherProv,TRUE,,,
Q,SiteMeasure,accessToDetails,TRUE,,,
Q,SiteMeasure,notes,,lab sheet,,
COD,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwCOD:str,create_site_measure_id
COD,SiteMeasure,siteID,,lab sheet,location,
COD,SiteMeasure,instrumentID,,,,
COD,SiteMeasure,sampleID,,,,
COD,SiteMeasure,reporterID,,lab sheet,__labID__,
COD,SiteMeasure,dateTime,,lab sheet,A,parse_date
COD,SiteMeasure,type,wwCOD,lab sheet,,
COD,SiteMeasure,aggregation,single,,,
COD,SiteMeasure,aggregationDesc,,,,
COD,SiteMeasure,value,,lab sheet,F,
COD,SiteMeasure,unit,mgl,lab sheet,,
COD,SiteMeasure,accessToPublic,TRUE,,,
COD,SiteMeasure,accessToAllOrg,TRUE,,,
COD,SiteMeasure,accessToPHAC,TRUE,,,
COD,SiteMeasure,accessToLocalHA,TRUE,,,
COD,SiteMeasure,accessToProvHA,TRUE,,,
COD,SiteMeasure,accessToOtherProv,TRUE,,,
COD,SiteMeasure,accessToDetails,TRUE,,,
COD,SiteMeasure,notes,,lab sheet,,
BOD5,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwBOD5c:str,create_site_measure_id
BOD5,SiteMeasure,siteID,,lab sheet,location,
BOD5,SiteMeasure,instrumentID,,,,
BOD5,SiteMeasure,sampleID,,,,
BOD5,SiteMeasure,reporterID,,lab sheet,__labID__,
BOD5,SiteMeasure,dateTime,,lab sheet,A,parse_date
BOD5,SiteMeasure,type,wwBOD5c,lab sheet,,
BOD5,SiteMeasure,aggregation,single,,,
BOD5,SiteMeasure,aggregationDesc,,,,
BOD5,SiteMeasure,value,,lab sheet,G,
BOD5,SiteMeasure,unit,mgl,lab sheet,,
BOD5,SiteMeasure,accessToPublic,TRUE,,,
BOD5,SiteMeasure,accessToAllOrg,TRUE,,,
