elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
Assay,AssayMethod,assayMethodID,,lab sheet,H;S;AI,get_assay_method_id
Assay,AssayMethod,instrumentID,,static AssayMethod+lab sheet,H;S,get_assay_instrument
Assay,AssayMethod,name,,static AssayMethod+lab sheet,H;S,get_assay_name
Assay,AssayMethod,version,,lab sheet,AI,
Assay,AssayMethod,summary,,lab sheet,H;S,
Assay,AssayMethod,date,,lab sheet,P,
Assay,AssayMethod,link,,,,
Assay,AssayMethod,extractionVolMl,,lab sheet,Q,
Assay,AssayMethod,lod,,lab sheet,LOD,
Assay,AssayMethod,loq,,lab sheet,LOQ,
Assay,AssayMethod,unit,gcrx,,,
Assay,AssayMethod,methodConc,,lab sheet,S;Q;V,write_concentration_method
Assay,AssayMethod,methodExtraction,,lab sheet,AG,
Assay,AssayMethod,methodPCR,,lab sheet,BM,
Assay,AssayMethod,qualityAssQC,,,,
Assay,AssayMethod,inhibition,,,,
Assay,AssayMethod,surrogateRecovery,,lab sheet,AB,
Assay,AssayMethod,notes,,lab sheet,AA;AH,
single,Sample,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
single,Sample,siteID,,lab sheet,D,get_site_id
single,Sample,instrumentID,,,,
single,Sample,reporterID,,static Reporter+lab sheet,N,get_reporter_id
single,Sample,dateTime,,lab sheet,B;E,get_grab_date
single,Sample,dateTimeStart,,lab sheet,A;B;E,get_start_date
single,Sample,dateTimeEnd,,lab sheet,B,
single,Sample,type,,lab sheet,H,get_sample_type
single,Sample,collection,,lab sheet,E,get_collection_method
single,Sample,preTreatment,,,,
single,Sample,pooled,,lab sheet,L,sample_is_pooled
single,Sample,children,,lab sheet,L;B,get_children_samples
single,Sample,parent,,lab sheet,,
single,Sample,sizeL,,lab sheet,I;__default__,get_sample_volume
single,Sample,index,1,,,
single,Sample,fieldSampleTempC,,lab sheet,J,get_field_sample_temp
single,Sample,shippedOnIce,,lab sheet,K,get_shipped_on_ice
single,Sample,storageTempC,,lab sheet,M,
single,Sample,qualityFlag,FALSE,lab sheet,O,has_quality_flag
single,Sample,notes,,lab sheet,O,
TSS,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__wqTSS:str;P;__const__1:int,get_wwmeasure_id
TSS,WWMeasure,reporterID,,static Reporter+lab sheet,T,get_reporter_id
TSS,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
TSS,WWMeasure,labID,,lab sheet,__labID__,
TSS,WWMeasure,assayMethodID,,,,
TSS,WWMeasure,analysisDate,,lab sheet,P,
TSS,WWMeasure,reportDate,,,,
TSS,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
TSS,WWMeasure,type,wqTSS,,,
TSS,WWMeasure,value,,lab sheet,Y,validate_value
TSS,WWMeasure,unit,mgl,,,
TSS,WWMeasure,aggregation,single,,,
TSS,WWMeasure,index,1,,,
TSS,WWMeasure,qualityFlag,TRUE,lab sheet,Z,has_quality_flag
TSS,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
TSS,WWMeasure,accessToAllOrg,TRUE,lab sheet,BQ,grant_access
TSS,WWMeasure,accessToPHAC,TRUE,lab sheet,BR,grant_access
TSS,WWMeasure,accessToLocalHA,TRUE,lab sheet,BS,grant_access
TSS,WWMeasure,accessToProvHA,TRUE,lab sheet,BT,grant_access
TSS,WWMeasure,accessToOtherProv,TRUE,lab sheet,BU,grant_access
TSS,WWMeasure,accessToDetails,TRUE,lab sheet,BV,grant_access
TSS,WWMeasure,notes,,lab sheet,AA,
pH initial,WWMeasure,wwMeasureID,,lab sheet,D;B;AB;__labID__;__const__1:int;__const__wqPh:str;P;__const__1:int,get_wwmeasure_id
pH initial,WWMeasure,reporterID,,static Reporter+lab sheet,T,get_reporter_id
pH initial,WWMeasure,sampleID,,lab sheet,D;B;AB;__labID__;__const__1:int,get_sample_id
pH initial,WWMeasure,labID,,lab sheet,__labID__,
pH initial,WWMeasure,assayMethodID,,,,
pH initial,WWMeasure,analysisDate,,lab sheet,P,
pH initial,WWMeasure,reportDate,,,,
pH initial,WWMeasure,fractionAnalyzed,,lab sheet,R,validate_fraction_analyzed
pH initial,WWMeasure,type,wqPh,,,
pH initial,WWMeasure,value,,lab sheet,U,validate_value
pH initial,WWMeasure,unit,ph,,,
pH initial,WWMeasure,aggregation,single,,,
pH initial,WWMeasure,index,1,,,
pH initial,WWMeasure,qualityFlag,TRUE,lab sheet,Z,has_quality_flag
pH initial,WWMeasure,accessToPublic,TRUE,lab sheet,BP,grant_access
