elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
Precip,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__envRnF:str,get_qc_lab_site_measure_id
Precip,SiteMeasure,siteID,,lab sheet,location,
Precip,SiteMeasure,instrumentID,,,,
Precip,SiteMeasure,sampleID,,,,
Precip,SiteMeasure,reporterID,CityQc,,,
Precip,SiteMeasure,dateTime,,lab sheet,A,get_date
Precip,SiteMeasure,type,envRnF,lab sheet,,
Precip,SiteMeasure,aggregation,single,,,
Precip,SiteMeasure,aggregationDesc,Cumulative rainfall in one day.,,,
Precip,SiteMeasure,value,,lab sheet,B,
Precip,SiteMeasure,unit,mm,lab sheet,,
Precip,SiteMeasure,accessToPublic,FALSE,,,
Precip,SiteMeasure,accessToAllOrg,FALSE,,,
Precip,SiteMeasure,accessToPHAC,FALSE,,,
Precip,SiteMeasure,accessToLocalHA,FALSE,,,
Precip,SiteMeasure,accessToProvHA,FALSE,,,
Precip,SiteMeasure,accessToOtherProv,FALSE,,,
Precip,SiteMeasure,accessToDetails,FALSE,,,
Precip,SiteMeasure,notes,,lab sheet,K,
Water temp,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwTemp:str,get_qc_lab_site_measure_id
Water temp,SiteMeasure,siteID,,lab sheet,location,
Water temp,SiteMeasure,instrumentID,,,,
Water temp,SiteMeasure,sampleID,,,,
Water temp,SiteMeasure,reporterID,CityQc,,,
Water temp,SiteMeasure,dateTime,,lab sheet,A,get_date
Water temp,SiteMeasure,type,wwTemp,lab sheet,,
Water temp,SiteMeasure,aggregation,single,,,
Water temp,SiteMeasure,aggregationDesc,,,,
Water temp,SiteMeasure,value,,lab sheet,C,
Water temp,SiteMeasure,unit,°C,lab sheet,,
Water temp,SiteMeasure,accessToPublic,FALSE,,,
Water temp,SiteMeasure,accessToAllOrg,FALSE,,,
Water temp,SiteMeasure,accessToPHAC,FALSE,,,
Water temp,SiteMeasure,accessToLocalHA,FALSE,,,
Water temp,SiteMeasure,accessToProvHA,FALSE,,,
Water temp,SiteMeasure,accessToOtherProv,FALSE,,,
Water temp,SiteMeasure,accessToDetails,FALSE,,,
Water temp,SiteMeasure,notes,,lab sheet,K,
pH,SiteMeasure,siteMeasureID,,lab sheet,location;A;__const__wwPh:str,get_qc_lab_site_measure_id
pH,SiteMeasure,siteID,,lab sheet,location,
pH,SiteMeasure,instrumentID,,,,
