elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
EastTemp,SiteMeasure,siteMeasureID,,lab sheet,__const__QC_01:str;C;__const__wwTemp:str,get_qc_sensor_site_measure_id
EastTemp,SiteMeasure,siteID,QC_01,,,
EastTemp,SiteMeasure,instrumentID,QUETPTE.STEST.E1TIT100,,,
EastTemp,SiteMeasure,sampleID,,,,
EastTemp,SiteMeasure,reporterID,CityQc,,,
EastTemp,SiteMeasure,dateTime,,lab sheet,C,get_date
EastTemp,SiteMeasure,type,wwTemp,lab sheet,,
EastTemp,SiteMeasure,aggregation,single,,,
EastTemp,SiteMeasure,aggregationDesc,,,,
EastTemp,SiteMeasure,value,,lab sheet,E,
EastTemp,SiteMeasure,unit,°C,,,
EastTemp,SiteMeasure,accessToPublic,FALSE,,,
EastTemp,SiteMeasure,accessToAllOrg,FALSE,,,
EastTemp,SiteMeasure,accessToPHAC,FALSE,,,
EastTemp,SiteMeasure,accessToLocalHA,FALSE,,,
EastTemp,SiteMeasure,accessToProvHA,FALSE,,,
EastTemp,SiteMeasure,accessToOtherProv,FALSE,,,
EastTemp,SiteMeasure,accessToDetails,FALSE,,,
EastTemp,SiteMeasure,notes,,,,
EastpH,SiteMeasure,siteMeasureID,,lab sheet,__const__QC_01:str;C;__const__wwPh:str,get_qc_sensor_site_measure_id
EastpH,SiteMeasure,siteID,QC_01,,,
EastpH,SiteMeasure,instrumentID,QUETPTE.STEST.E1AIT100,,,
EastpH,SiteMeasure,sampleID,,,,
EastpH,SiteMeasure,reporterID,CityQc,,,
EastpH,SiteMeasure,dateTime,,lab sheet,C,get_date
EastpH,SiteMeasure,type,wwPh,lab sheet,,
EastpH,SiteMeasure,aggregation,single,,,
EastpH,SiteMeasure,aggregationDesc,,,,
EastpH,SiteMeasure,value,,lab sheet,F,
EastpH,SiteMeasure,unit,pH,,,
EastpH,SiteMeasure,accessToPublic,FALSE,,,
EastpH,SiteMeasure,accessToAllOrg,FALSE,,,
EastpH,SiteMeasure,accessToPHAC,FALSE,,,
EastpH,SiteMeasure,accessToLocalHA,FALSE,,,
EastpH,SiteMeasure,accessToProvHA,FALSE,,,
EastpH,SiteMeasure,accessToOtherProv,FALSE,,,
EastpH,SiteMeasure,accessToDetails,FALSE,,,
EastpH,SiteMeasure,notes,,,,
EastFlow,SiteMeasure,siteMeasureID,,lab sheet,__const__QC_01:str;C;__const__wwFlow:str,get_qc_sensor_site_measure_id
EastFlow,SiteMeasure,siteID,QC_01,,,
EastFlow,SiteMeasure,instrumentID,QUETPTE.STEST.E1FI202,,,
EastFlow,SiteMeasure,sampleID,,,,
EastFlow,SiteMeasure,reporterID,CityQc,,,
EastFlow,SiteMeasure,dateTime,,lab sheet,C,get_date
